Date,MSCI World
04/1996,85080.69828367696
05/1996,86169.96496311708
06/1996,85916.92201673379
07/1996,81604.19742011424
08/1996,81777.0525351551
09/1996,85698.34501251797
10/1996,86548.02252183242
11/1996,90208.13922010455
12/1996,90710.72345528383
01/1997,94283.44394756292
02/1997,99504.4469555124
03/1997,98649.58571053082
04/1997,102409.52109379908
05/1997,108379.05241005546
06/1997,115044.04281074446
07/1997,123671.61124857572
08/1997,118670.09980497124
09/1997,121816.14182357752
10/1997,113290.79744010323
11/1997,112903.92922652066
12/1997,117343.8948998229
01/1998,123368.37568828475
02/1998,131403.41636267837
03/1998,137436.623406016
04/1998,137819.33887206152
05/1998,133999.0800491892
06/1998,138154.94604427836
07/1998,138239.06430929905
08/1998,119295.30215338974
09/1998,115721.78243495236
10/1998,121502.51112245365
11/1998,132433.44644031994
12/1998,137997.3120434992
01/1999,145606.4528005109
02/1999,146419.9071902431
03/1999,156413.00652431697
04/1999,164781.3562465668
05/1999,160878.45808012178
06/1999,170446.06540938048
07/1999,164096.55991474303
08/1999,165656.92139597924
09/1999,162613.14700298352
10/1999,174512.43866596615
11/1999,185724.53110306093
12/1999,201753.33595948963
01/2000,195129.47393827717
02/2000,197183.04672612113
03/2000,214340.0789162961
04/2000,215825.99091610382
05/2000,205407.34962509183
06/2000,206677.6706299381
07/2000,207635.70224652413
08/2000,222475.5238151789
09/2000,214007.9652066434
10/2000,219094.84008987274
11/2000,199438.93952738782
12/2000,189114.8129930444
01/2001,193005.42913923223
02/2001,177532.47977725978
03/2001,173653.1883995846
04/2001,185529.60645735046
05/2001,191662.98370481556
06/2001,185630.9797634492
07/2001,177396.92643855218
08/2001,161425.3413326143
09/2001,147614.8727356923
10/2001,151914.2990535642
11/2001,163482.05087792798
12/2001,166079.7215571836
01/2002,164312.75586930796
02/2002,162604.0192344503
03/2002,168346.16370027847
04/2002,157496.98186290325
05/2002,151390.0421671041
06/2002,133797.3991297029
07/2002,124912.20031518543
08/2002,124489.2562902788
09/2002,110479.58750396367
10/2002,118572.06981463642
11/2002,124154.01869744709
12/2002,111814.21248716052
01/2003,105109.2663432574
02/2003,103595.34942290882
03/2003,102182.48179664006
04/2003,108879.25939759436
05/2003,108351.82728104865
06/2003,114023.18387125831
07/2003,117445.60461212373
08/2003,124261.42378542546
09/2003,117231.06338667251
10/2003,124496.61676504566
11/2003,122458.61693535291
12/2003,123578.9590828589
01/2004,128056.09656039921
02/2004,129843.94685913756
03/2004,131029.35648197848
04/2004,131321.47216380952
05/2004,129791.10214502511
06/2004,132924.1391876391
07/2004,129823.13266285391
08/2004,129618.54194061892
09/2004,128898.95351026554
10/2004,128652.56555178855
11/2004,129727.56165969456
12/2004,131456.29273440116
01/2005,134273.31775025747
02/2005,136207.07868278926
03/2005,136581.76891114865
04/2005,133677.93351672933
05/2005,142959.9621025617
06/2005,147047.03522767386
07/2005,152171.04514031418
08/2005,151997.9270181473
09/2005,157966.09566531077
10/2005,154377.241959662
11/2005,162963.8183415544
12/2005,166178.8583454393
01/2006,169000.72912658178
02/2006,172202.2722790281
03/2006,172659.22409636428
04/2006,171756.9857095391
05/2006,161622.79902572016
06/2006,163545.3793293853
07/2006,163869.98260342045
08/2006,167024.6451419753
09/2006,171566.1213419198
10/2006,177358.73088692705
11/2006,174764.20622120713
12/2006,178723.5318565966
01/2007,183848.6886966529
02/2007,179334.12629700286
03/2007,181149.70924505472
04/2007,185148.82007235163
05/2007,192487.14527702393
06/2007,190266.9894540528
07/2007,183311.37167724757
08/2007,183199.0705640947
09/2007,185495.6102668897
10/2007,187638.47505329028
11/2007,176140.28340322914
12/2007,174340.26099688967
01/2008,159403.8655902554
02/2008,155377.8831427668
03/2008,147611.17924363213
04/2008,158088.76124031583
05/2008,160830.53333821252
06/2008,145599.67436807769
07/2008,143434.15895549898
08/2008,149826.8042100552
09/2008,135993.77198890864
10/2008,123565.28938232172
11/2008,115839.48499358661
12/2008,109333.15269673719
01/2009,108324.7162278696
02/2009,98559.4321777633
03/2009,100703.2406359776
04/2009,112278.48228473836
05/2009,115303.21582449084
06/2009,114490.67647761473
07/2009,124152.55351345865
08/2009,128060.6940574609
09/2009,129791.07386768029
10/2009,126129.60440177225
11/2009,129334.85037697169
12/2009,137296.13144149294
01/2010,135768.28891458648
02/2010,141700.0275085132
03/2010,151491.47418170705
04/2010,153378.901507426
05/2010,150046.12411194082
06/2010,145326.71293274156
07/2010,147979.88494301809
08/2010,146364.69002008712
09/2010,148663.50585168065
10/2010,151879.20639497228
11/2010,158420.76231177428
12/2010,165435.78710763945
01/2011,165095.91940854656
02/2011,169122.42977745016
03/2011,163058.12231659406
04/2011,162515.49789131456
05/2011,164399.08200454025
06/2011,161037.08871738124
07/2011,160257.14198036463
08/2011,147007.16204174483
09/2011,143729.57831423252
10/2011,152955.4082065391
11/2011,155704.4205863056
12/2011,161378.861420969
