year,iso,included,exclusion_reason,cap_year,market_cap_usd,start_weight,return_source,local_return,usd_return,reference_currency_return,usd_return_contribution
1914,FRA,true,,1913,5304166633.221838,0.1281189843883883,JST_R6_EQ_TR,-0.11047793179750443,-0.09493966603302506,-0.08004411870267347,-0.012163573590323938
1914,GBR,true,,1913,6628475263.497149,0.16010687022609071,JST_R6_EQ_TR,-0.000639998004771769,0.01217230971311567,0.02883071355644784,0.0019488704115895941
1914,ITA,true,,1913,792491309.1862454,0.019142155345125925,JST_R6_EQ_TR,-0.16070590913295746,-0.14955840340248083,-0.13556177513539736,-0.002862870191099298
1914,JPN,true,,1913,415257786.0530484,0.010030304379063442,JST_R6_EQ_TR,-0.03165173903107643,-0.03411572951700248,-0.01821913751461046,-0.00034219115116933393
1914,NLD,true,,1913,804909846.727683,0.019442117719503972,JST_R6_EQ_TR,0.005688557401299477,0.01806462891834082,0.034820008970123384,0.0003512146419895379
1914,NOR,true,,1913,148410155.82309178,0.0035847588795353243,JST_R6_EQ_TR,0.021543974056839943,-0.024772198536926693,-0.008721830037296874,-0.00008880235867085993
1914,PRT,true,,1913,90636740.72578728,0.0021892764637765623,JST_R6_EQ_TR,0.058386705815792084,-0.009060844821065173,0.007248102255169364,-0.00001983669430868974
1914,SWE,true,,1913,550315445.5532025,0.013292541666379228,JST_R6_EQ_TR,-0.23599670827388763,-0.2649118660592489,-0.2528137332827285,-0.003521352017510839
1914,USA,true,,1913,18916067123.413086,0.45690632969465894,JST_R6_EQ_TR,-0.033582087606191635,-0.033582087606191635,-0.017676712887287116,-0.015343868391629515
1915,AUS,true,,1914,436634140.53436005,0.011357014830883293,JST_R6_EQ_TR,-0.03500000014901161,-0.07474900346039315,0.05063547737908625,-0.0008489255408934315
1915,BEL,true,,1914,1360539032.6242828,0.03538812139746926,JST_R6_EQ_TR,0.011960053816437721,-0.12664173573267812,-0.008289447584302834,-0.004481613118094234
1915,CAN,true,,1914,1208057455.0422752,0.03142201939748361,KZ_R1_EQ_TR_FALLBACK,0.10174195468425751,0.10218265146613126,0.2515438518984572,0.0032107852564550836
1915,CHE,false,missing_start_market_cap,1914,,,JST_R6_EQ_TR,-0.01672138273715973,,,
1915,DEU,true,,1914,3792351946.4931026,0.09864047105327531,JST_R6_EQ_TR,0.09815901517868042,-0.03289699897844589,0.09815901517868042,-0.0032449754754730192
1915,DNK,true,,1914,188491730.2839837,0.00490273933621917,JST_R6_EQ_TR,0.4419366121292114,0.3970399917025389,0.5863584952510137,0.0019465835853721704
1915,ESP,true,,1914,170115318.1575761,0.0044247620878010265,JST_R6_EQ_TR,0.12925145030021667,0.17027588157307338,0.32886466926288227,0.0007534302652514325
1915,FIN,true,,1914,50141009.831683114,0.0013041861353236949,JST_R6_EQ_TR,0.2553213834762573,0.023986058051136183,0.1627505238618041,0.0000312822843513611
